Name,Score,Genres,Type,Episodes,Duration,Popularity,Members,summary,embedding,weighted_score,English name,Name_cleaned,English_name_cleaned
Angel Beats! Specials,7.62,"Action, Comedy, School, Supernatural",Special,2,27 min. per ep.,635,228938,"Genre: Action, Comedy, School, Supernatural and the synopsis is s the Shinda Sekai Sensen (SSS) continue their vindictive rebellion against God, their leader, Yuri Nakamura, comes up with an ingenious plan to escape the afterlife. Her subordinates prepare to carry out ""Operation High Tension Syndrome"" to deceive Kanade Tachibana, student council president and alleged associate of God, into thinking that they are ready to pass on. With a week's worth of food on the line and with Heaven as the ultimate prize, will the SSS members be able to fool the inscrutable Kanade?","[[ 0.01024772 -0.00900035 -0.01322486 ...  0.00079899  0.00323213
  -0.02610515]]",114472.80446497364,Unknown,angel beats specials,unknown
Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,6.81,"Comedy, Ecchi",OVA,1,4 min.,2724,35138,"Genre: Comedy, Ecchi and the synopsis is Special beach episode bundled with the official visual book.","[[ 0.00478549 -0.02857592  0.00084325 ... -0.0032572  -0.01260472
  -0.03100291]]",17572.40477789288,Unknown,toaru kagaku no railgun entenka no satsuei model mo raku ja arimasen wa ne,unknown
Hakuouki Hekketsuroku,7.62,"Action, Drama, Historical, Josei, Samurai, Supernatural",TV,10,24 min. per ep.,1753,74619,"Genre: Action, Drama, Historical, Josei, Samurai, Supernatural and the synopsis is fter the conclusion of Hakuouki , Chizuru Yukimura and the Shinsengumi are forced to flee Kyoto and set sail for Edo. In their commander Isami Kondou's absence, vice-commander Toshizou Hijikata steps in as acting commander. However, Hijikata is not only struggling with the extra leadership duties—which worries everyone around him—but also a newfound uncontrollable bloodlust. To make matters worse, the urge does not affect him alone, and it is even beginning to drive some of his subordinates mad. Finally, Kondou returns with orders from the emperor to defend the castle, and a new name for their squad: the Kouyou Chinbutai. But in war, the balance of power can shift suddenly and allegiances can waver. In Hakuouki Hekketsuroku , Chizuru follows the Shinsengumi into the heart of war and continues the search for her missing father, all while the bond between her and Hijikata grows ever stronger.","[[ 0.01071899 -0.01938541 -0.01569615 ...  0.00091309  0.00996772
  -0.00409508]]",37313.307980414065,Hakuoki ~Demon of the Fleeting Blossom~ Record of the Jade Blood,hakuouki hekketsuroku,hakuoki ~demon of the fleeting blossom~ record of the jade blood
Arakawa Under the Bridge x Bridge,7.75,"Comedy, Romance, Seinen",TV,13,23 min. per ep.,1082,136905,"Genre: Comedy, Romance, Seinen and the synopsis is In the dry riverbed of Arakawa River, undefeated elite Ichinomiya Kou (aka Ric) met the lovely homeless girl Nino, a self-declared Venusian. Their awkward love stirs up trouble among the other strange inhabitants of the riverbed. (Source: ANN)","[[ 0.02155642 -0.02749985 -0.01811894 ... -0.01323168 -0.01532434
  -0.02778849]]",68456.37130192721,Arakawa Under the Bridge x Bridge,arakawa under the bridge x bridge,arakawa under the bridge x bridge
Pokemon Best Wishes!,6.4,"Action, Adventure, Comedy, Fantasy, Kids",TV,84,22 min. per ep.,1796,71657,"Genre: Action, Adventure, Comedy, Fantasy, Kids and the synopsis is s with both the Advanced Generation and Diamond & Pearl series before it, the Best Wishes! series begins with only Satoshi, headed off to the Isshu region, located far away from Kanto, Johto, Houen, and Sinnoh, with his Pikachu. After he meets up with the new trainer and rival Shooty and the region's Professor Araragi, he gains traveling companions in Iris, a girl from a town known for its Dragon Pokémon, and Dent, Pokémon Connoisseur and the Grass Pokémon specialist of the three Sanyou City Gym Leaders.","[[ 0.01533999 -0.00957562 -0.00653746 ... -0.01862228 -0.00919585
  -0.01691332]]",35831.70049119564,Pokémon:Black & White,pokemon best wishes,pokémonblack & white
Amagami SS OVA,7.26,"Romance, School",OVA,6,5 min. per ep.,2319,47879,"Genre: Romance, School and the synopsis is ccording to the official website, two-volume OVA of Amagami SS will be distributed to those who purchase all the volumes of the DVD/Blu-rays of the TV series. The first volume will carry three short episodes of Haruka, Kaoru and Sae. The second volume will contain Ai, Rihoko and Tsukasa’s episodes.","[[-0.00824263 -0.03270676 -0.00769532 ... -0.00299043 -0.0153247
  -0.00052093]]",23943.129035096063,Amagami SS,amagami ss ova,amagami ss
Beelzebub: Hirotta Akachan wa Daimaou!?,7.3,"Action, Supernatural, Comedy, School, Demons, Shounen",Special,1,30 min.,2836,32617,"Genre: Action, Supernatural, Comedy, School, Demons, Shounen and the synopsis is The story follows the ""strongest juvenile delinquent"", Oga Tatsumi, a first year in ""Ishiyama High"" the school for delinquents. One day while sleeping next to a river he sees a man floating down it, he pulls him to shore and the man splits in half revealing a baby boy. This boy is the son of the demon king and he has been chosen as the one to raise it with the baby's demon maid Hilda. The story follows his life with the child and at the delinquent school. (Source: Wikipedia)","[[ 0.01927975 -0.03292692 -0.03629595 ...  0.00293802 -0.00247906
  -0.00590237]]",16312.149159338253,Unknown,beelzebub hirotta akachan wa daimaou,unknown
Saint Seiya: The Lost Canvas - Meiou Shinwa 2,8.11,"Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural",OVA,13,24 min. per ep.,2026,59235,"Genre: Action, Adventure, Martial Arts, Shounen, Super Power, Supernatural and the synopsis is The sequel to Saint Seiya: The Lost Canvas - Meiou Shinwa.","[[ 0.00791713 -0.02899672 -0.03041119 ... -0.00744563  0.00325787
  -0.02394128]]",29621.55237437208,Saint Seiya:The Lost Canvas 2,saint seiya the lost canvas  meiou shinwa,saint seiyathe lost canvas
Fullmetal Alchemist: The Sacred Star of Milos,7.32,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",Movie,1,1 hr. 50 min.,980,150535,"Genre: Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen and the synopsis is Chasing a runaway alchemist with strange powers, brothers Edward and Alphonse Elric stumble into the squalid valley of the Milos. The Milosians are an oppressed group that seek to reclaim their holy land from Creta: a militaristic country that forcefully annexed their nation. In the eye of the political storm is a girl named Julia Crichton, who emphatically wishes for the Milos to regain their strength and return to being a nation of peace. Befriending the girl, Edward and Alphonse find themselves in the midst of a rising resistance that involves the use of the very object they have been seeking all along—the Philosopher's Stone. However, their past experiences with the stone cause them reservation, and the brothers are unwilling to help. But as they discover the secrets behind Creta's intentions and questionable history, the brothers are drawn into the battle between the rebellious Milos, who desire their liberty, and the Cretan military, who seek absolute power.","[[ 0.0121549  -0.02178584 -0.0154095  ... -0.00188301 -0.01284567
  -0.02345963]]",75271.15750522978,Fullmetal Alchemist:The Sacred Star of Milos,fullmetal alchemist the sacred star of milos,fullmetal alchemistthe sacred star of milos
Kuroshitsuji II Specials,7.48,"Fantasy, Supernatural, Comedy, Parody, Shounen",Special,6,25 min. per ep.,1392,100870,"Genre: Fantasy, Supernatural, Comedy, Parody, Shounen and the synopsis is ccording to the Kuroshitsuji website, there are 6 OVAs included in the DVD releases. DVD 2: Ciel in Wonderland (Part 1) This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story. DVD 3: Welcome to the Phantomhive's This is meant to be like a simulation game. Elizabeth invites a lady (perhaps the viewer) to join her at a ball held at the Phantomhive mansion. DVD 5: The Making of Kuroshitsuji II This is a Hollywood style documentary with behind the scenes interviews with Sebastian, Ciel, Claude and Alois etc. DVD 6: Ciel in Wonderland (Part 2) This re-imagines the cast of Kuroshitsuji II as characters in Lewis Carroll's Alice in Wonderland story. DVD 8: The Tale of William the Shinigami William and Grell have to train new shinigami and reminisce about when they were training partners. DVD 9: The Spider's Intention The life in Trancy household and how those work under Alois is caring for him.","[[ 0.01075712 -0.03317055 -0.00442274 ...  0.01871672 -0.0055917
  -0.00137711]]",50438.73782356874,Black Butler II Specials,kuroshitsuji ii specials,black butler ii specials
Motto To LOVE-Ru,7.34,"Sci-Fi, Harem, Comedy, Ecchi, School, Shounen",TV,12,24 min. per ep.,565,259545,"Genre: Sci-Fi, Harem, Comedy, Ecchi, School, Shounen and the synopsis is o Yuuki never gets a break—he's always finding himself in lewd accidents with girls around him. Although his heart still yearns for Haruna, his childhood love, Rito can't help but question his feelings for Lala, the alien princess who appeared in front of him and declared she would marry him. But now, it's not just Lala he has to deal with: her younger twin sisters, Momo and Nana, have also travelled to Earth, wanting to meet their older sister’s fiancé, and just as luck would have it, they end up staying at Rito's home. Meanwhile, amidst the bustle of his new family members, Yami, the human weapon girl, begins her pursuit for Rito. It's not an easy life for Rito as he deals with uncertain love, punishment for being a pervert, and a girl dead set on murdering him.","[[ 0.01131044 -0.02420091 -0.02666314 ... -0.0019339   0.00283584
  -0.03607753]]",129776.16556888807,Motto To LOVE Ru,motto to loveru,motto to love ru
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.62,"Action, Comedy, Ecchi, Shounen, Sports",OVA,3,28 min. per ep.,2045,58081,"Genre: Action, Comedy, Ecchi, Shounen, Sports and the synopsis is First episode is based on the 16th volume of the manga. Features Ikki vs. Ringo. Second episode is based on the 23rd/24th volume of the manga. Features Kogarasumaru vs. Sleeping Forest inside Inorganic Net.","[[ 0.00304696 -0.02828265 -0.01214181 ...  0.00150293  0.00270165
  -0.02484927]]",29044.308267762324,Unknown,air gear kuro no hane to nemuri no mori  break on the sky,unknown
Seikon no Qwaser: Jotei no Shouzou,6.42,"Action, Super Power, Supernatural, Ecchi, Seinen",OVA,1,23 min.,3399,23150,"Genre: Action, Super Power, Supernatural, Ecchi, Seinen and the synopsis is Based on Ekaterina Kurae's chapter 16 from the manga, and episode 10.5 of the anime.","[[ 0.00904139 -0.03761633 -0.01686517 ... -0.00300678  0.01035615
  -0.01944287]]",11578.210238666014,The Qwaser of Stigmata:Portrait of the Empress,seikon no qwaser jotei no shouzou,the qwaser of stigmataportrait of the empress
K-On!!: Ura-On!!,6.51,Comedy,Special,9,3 min. per ep.,2716,35404,"Genre: Comedy and the synopsis is Extra short anime ""Ura-On!!"" included in the limited edition of the K-ON!! Blu-ray.","[[ 0.00370043 -0.02595243 -0.0041947  ...  0.00860029 -0.01247536
  -0.03221317]]",17705.255178227457,K-ON!!:Ura-On!!,kon uraon,konuraon
Kowarekake no Orgel,7.34,"Drama, Music, Sci-Fi, Slice of Life",OVA,1,28 min.,2859,32289,"Genre: Drama, Music, Sci-Fi, Slice of Life and the synopsis is In 2039, helper androids are widespread as general purpose electronics. Keiichiro lost his family in a traffic accident and retired from his band. One day, he finds an android of an old model in a garbage dump. He takes her home, but after taking her to a repair shop he was told that she couldn't be repaired, so he plans to throw her away. The next day, Keiichiro finds her making breakfast for him. Thus begin the summer days of an android with no memories and a dreamless boy.","[[ 0.01234866 -0.01487663 -0.01573694 ... -0.00372578 -0.02019728
  -0.01981345]]",16148.169115286457,Unknown,kowarekake no orgel,unknown
Break Blade 3: Kyoujin no Ato,7.81,"Action, Military, Fantasy, Mecha, Shounen",Movie,1,47 min.,2137,54508,"Genre: Action, Military, Fantasy, Mecha, Shounen and the synopsis is Third Break Blade movie.","[[-0.01930009 -0.04388751 -0.03232309 ... -0.00177113 -0.00403713
  -0.0126258 ]]",27257.90301955121,Broken Blade 3,break blade  kyoujin no ato,broken blade
Steins;Gate,9.11,"Thriller, Sci-Fi",TV,24,24 min. per ep.,9,1771162,"Genre: Thriller, Sci-Fi and the synopsis is The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel. Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history. Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.","[[-0.00374071 -0.02834205 -0.01635538 ... -0.01357033 -0.02562525
  -0.02516108]]",885585.0034866871,Steins;Gate,steinsgate,steinsgate
Kizumonogatari I: Tekketsu-hen,8.4,Vampire,Movie,1,1 hr. 4 min.,358,371083,"Genre: Vampire and the synopsis is During Koyomi Araragi's second year at Naoetsu Private High School, he has a chance encounter with Tsubasa Hanekawa, the top honor student in his class. When they strike up a conversation, Hanekawa mentions a shocking rumor: a vampire with beautiful blonde hair and freezing cold eyes has been seen lurking around town. Happy to have made a new friend, Araragi writes off the rumor and goes about the rest of his evening in a carefree manner. However, on his way home, he stumbles across splatters of blood leading down the stairs to the subway. His curiosity pushes him to investigate further, so he follows the gruesome pools into the depths of the station. When he arrives at the source of the blood, he is terrified by what he sees—the rumored blonde vampire herself, completely dismembered. After she calls for his help, Araragi must make a decision, one which carries the potential to change his life forever.","[[ 0.00548223 -0.01205435 -0.00956601 ... -0.01037357 -0.01277656
  -0.01089225]]",185545.6824949717,Kizumonogatari Part 1:Tekketsu,kizumonogatari i tekketsuhen,kizumonogatari part tekketsu
Hanasaku Iroha,7.95,"Slice of Life, Comedy, Drama",TV,26,24 min. per ep.,538,266837,"Genre: Slice of Life, Comedy, Drama and the synopsis is Ohana Matsumae is an energetic and wild teenager residing in Tokyo with her carefree single mother. Abruptly, her mother decides to run away with her new boyfriend from debt collectors, forcing the young girl to fend for herself—as per her mother's ""rely only on yourself"" philosophy—in rural Japan, where her cold grandmother runs a small inn. Driven to adapt to the tranquil lifestyle of the countryside, Ohana experiences and deals with the challenges of working as a maid, as well as meeting and making friends with enthralling people at her new school and the inn.","[[ 0.01654769 -0.01025556 -0.00298926 ...  0.01195036 -0.00998866
  -0.03597787]]",133422.46627744145,Hanasaku Iroha:Blossoms for Tomorrow,hanasaku iroha,hanasaku irohablossoms for tomorrow
Fractale,6.96,"Adventure, Fantasy, Sci-Fi",TV,11,23 min. per ep.,1756,74415,"Genre: Adventure, Fantasy, Sci-Fi and the synopsis is The story takes place on an island, where a ""Fractale System"" is beginning to collapse. One day, Clain finds an injured girl called Phryne under a cliff. She disappears leaving a pendant. Clain sets out for a journey with the girl-shaped avatar Nessa to look for Phryne and discovers the secret of the Fractale System.","[[ 0.0190596  -0.02973781 -0.03161825 ... -0.00066655 -0.01805222
  -0.02248469]]",37210.979346311,Fractale,fractale,fractale
Dragon Crisis!,6.7,"Action, Magic, Romance, School, Seinen, Supernatural",TV,12,23 min. per ep.,992,149382,"Genre: Action, Magic, Romance, School, Seinen, Supernatural and the synopsis is ormal high school boy Kisaragi Ryuji's peaceful life is turned into an adventure by the return of his second cousin Eriko. Ryuji and Eriko seize a relic box from a black broker. In the box, they find a red dragon girl Rose. In order to protect Rose from the black organization, Ryuji decides to fight using his power as a relic handler.","[[ 0.00501874 -0.03249094 -0.02079049 ... -0.01874987 -0.01213773
  -0.01095178]]",74694.34979361467,Unknown,dragon crisis,unknown
Yumekui Merry,6.95,"Action, Supernatural",TV,13,24 min. per ep.,1200,123078,"Genre: Action, Supernatural and the synopsis is Yumekui Merry begins with Yumeji Fujiwara, a seemingly average high school student. But ten years ago, Yumeji gained the ability to see the dream auras of other people around him. This ability allows Yumeji to predict what type of dreams people are likely to have next. The dreams of others may not be a mystery to Yumeji, but his own dreams have recently left him puzzled. In dream after dream, Yumeji has been pursued by an army of cats lead by John Doe, who claims he needs Yumeji's body to enter the real world. These strange occurrences get stranger when Yumeji meets Nightmare Merry, a dream demon seeking to return to her own world. Using his powers, Yumeji decides to assist Merry in getting back home. But Merry's very presence in the real world means that the barrier separating dreams and reality has been broken, and not all of the dream demons intend to come to Earth peacefully...","[[-0.00163251 -0.03822263 -0.013275   ... -0.01025914 -0.00738007
  -0.041245  ]]",61542.47407541189,Dream Eater Merry,yumekui merry,dream eater merry
.hack//Quantum,7.18,"Action, Adventure, Fantasy, Game, Sci-Fi",OVA,3,26 min. per ep.,2671,36542,"Genre: Action, Adventure, Fantasy, Game, Sci-Fi and the synopsis is Tobias, Mary, and Sakuya challenge the impregnable ""The One Sin"", but they lose their way in the maze and unintentionally trap other guild members. A mysterious cat is watching their blunder. Is it another player character or NPC?","[[ 0.00617616 -0.03817867 -0.02917786 ... -0.01160452 -0.02082967
  -0.02634981]]",18274.5892706376,Unknown,hackquantum,unknown
Fortune Arterial: Akai Yakusoku - Tadoritsuita Basho,6.91,"Harem, Comedy, Romance, Vampire, Fantasy",OVA,1,24 min.,3280,24849,"Genre: Harem, Comedy, Romance, Vampire, Fantasy and the synopsis is fter the school festival, Kohei and friends head to a small cottage out of town and enjoy themselves after working hard.","[[ 0.00887558 -0.02271356 -0.01216185 ... -0.00736442  0.00119853
  -0.00928471]]",12427.954704729524,Unknown,fortune arterial akai yakusoku  tadoritsuita basho,unknown
Sekirei: Pure Engagement Episode 0,7.23,"Ecchi, Comedy, Harem",Special,1,28 min.,2439,43501,"Genre: Ecchi, Comedy, Harem and the synopsis is Episode 0, consisting of two subepisodes: ""Sekirei Shindan"" (鶺鴒診断) and ""Sekirei Yoka"" (鶺鴒余暇), of Sekirei: Pure Engagement included on the first DVD/BD volume.","[[ 0.00705752 -0.02516788 -0.01105941 ... -0.00550014  0.00252993
  -0.0202263 ]]",21754.114127067736,Unknown,sekirei pure engagement episode,unknown
Hyakka Ryouran: Samurai Girls Specials,6.64,Ecchi,Special,6,3 min. per ep.,3563,21100,Genre: Ecchi and the synopsis is Special episodes added to DVDs and Blu-rays.,"[[ 0.00132266 -0.03431347 -0.01314427 ...  0.00557396 -0.01767064
  -0.01084485]]",10553.32000340681,Unknown,hyakka ryouran samurai girls specials,unknown
Kaichou wa Maid-sama!: Omake dayo!,7.49,"Comedy, School, Shoujo",Special,1,13 min.,1411,98556,"Genre: Comedy, School, Shoujo and the synopsis is Extra episode included in Blu-ray and DVD volume 10, entitled ""Omake dayo (It's an extra!)"".","[[-0.00125907 -0.03471594 -0.03121582 ...  0.00128013 -0.00992347
  -0.03481964]]",49281.74282706043,Maid Sama!:Omake dayo,kaichou wa maidsama omake dayo,maid samaomake dayo
Freezing,6.91,"Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen",TV,12,24 min. per ep.,531,268974,"Genre: Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen and the synopsis is Decades into the future, humanity is under siege by an alien race known as the Novas. These inhuman beings leave devastation in their wake whenever they appear, with the efforts to stave them off becoming known as Nova Clashes. Young women known as ""Pandoras"" and young men known as ""Limiters"" are implanted with stigmata to give them superhuman powers and are trained in military academies, where they must learn to work together if humanity is to have a chance of surviving. Freezing tells the story of Kazuya Aoi as he sets out for his first day at the West Genetics military academy, right when a battle royale is being undertaken by the Pandoras. It is here that he mistakes Satellizer el Bridget—a powerful Pandora known as the ""Untouchable Queen""—as his deceased sister and embraces her. Though he costs her the match, she finds that his touch doesn't drive her away and decides to take him as her Limiter. The only question is whether or not their partnership can survive the machinations of their upperclassmen and the impending battle with the Novas…","[[-0.00082578 -0.04627845 -0.01390451 ... -0.00722839 -0.01054897
  -0.02207664]]",134490.453196781,Freezing,freezing,freezing
Denpa Onna to Seishun Otoko,7.18,"Sci-Fi, Slice of Life, Comedy",TV,12,24 min. per ep.,584,249947,"Genre: Sci-Fi, Slice of Life, Comedy and the synopsis is akoto Niwa meticulously tallies the amount of positive and negative youthful experiences he engages in as if to grade his own life. When his parents go overseas, he moves to a new town to live with his aunt, welcoming the change and ready for a fresh start. However, as ordinary as he had imagined his adolescence to be, he could never have taken the existence of an enigmatic long-lost cousin into account. Upon moving into his aunt's house, he discovers the cousin he never knew about: Erio Touwa. Despite being Makoto's age, she couldn't be more different: Erio chooses to wrap herself in a futon all day rather than to go to school. She even claims to be an alien, and with a speech pattern and personality to back it up, any chance of Makoto's dreamt-of normal life is instantly tossed out the window. As he meets a string of other eccentric girls in town, Makoto must face the possibility of seeing his youth points in the red. However, he might be surprised by how thrilling an abnormal youth can be.","[[ 0.02262582 -0.02644894 -0.0070204  ...  0.01496597 -0.01021767
  -0.04312919]]",124977.08669625773,Ground Control to Psychoelectric Girl,denpa onna to seishun otoko,ground control to psychoelectric girl
Mitsudomoe: Oppai Ippai Mama Genki,7.57,"Slice of Life, Comedy, School",Special,1,23 min.,4036,16112,"Genre: Slice of Life, Comedy, School and the synopsis is special unaired episode included in the 7th DVD/Blu-ray volume.","[[ 0.01030493 -0.03616751 -0.01343918 ...  0.00174088 -0.00536632
  -0.01656007]]",8059.784165767215,Unknown,mitsudomoe oppai ippai mama genki,unknown
Yume-iro Pâtissière SP Professional,7.6,"Slice of Life, Shoujo",TV,13,24 min. per ep.,2787,33704,"Genre: Slice of Life, Shoujo and the synopsis is Upon her return to Japan after a two year study break in Paris, Ichigo Amano is met with news of Team Ichigo's separation, as each of the Sweets Princes takes a different path toward their dream. Now in her first year of high school, Henri Lucas has a project in store for her, enlisting the help of Ichigo, Makoto Kashino, and new members Lemon Yamagishi and Johnny McBeal to give rise to a new Team Ichigo. As the four work together on this project, Ichigo and Makoto continue to grow closer, though Johnny and the unrelenting Miya Koshiro will not idly sit by; with Johnny's eye on Ichigo and Miya still after Makoto, it definitely seems like love won't come easily. With Ichigo's time at St. Marie Academy, she is now ever closer to her dream of starting her very own pâtisserie. However, she will soon realize that it takes more than just making delicious sweets to open up a shop.","[[-0.00029495 -0.03418848 -0.01980782 ...  0.01520653 -0.01750062
  -0.01114272]]",16855.79875379821,Unknown,yumeiro pâtissière sp professional,unknown
Break Blade 4: Sanka no Chi,7.87,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,49 min.,2178,53440,"Genre: Action, Fantasy, Mecha, Military, Shounen and the synopsis is Fourth Break Blade Movie.","[[-0.01596906 -0.0434504  -0.03794114 ... -0.00428462 -0.00210008
  -0.01313647]]",26723.93295676676,Broken Blade 4,break blade  sanka no chi,broken blade
Baka to Test to Shoukanjuu: Matsuri,7.62,"Comedy, School, Super Power",OVA,2,29 min. per ep.,1305,109227,"Genre: Comedy, School, Super Power and the synopsis is OVA of Baka to Test to Shoukanjuu which was announced to be released before the start of the second series.","[[ 0.01902661 -0.03007893 -0.02177995 ...  0.00088396 -0.00602293
  -0.01362383]]",54617.3072909465,Baka & Test - Summon the Beasts OVA,baka to test to shoukanjuu matsuri,baka & test  summon the beasts ova
Coppelion,6.48,"Action, Sci-Fi, Seinen",TV,13,24 min. per ep.,1331,106260,"Genre: Action, Sci-Fi, Seinen and the synopsis is In 2016, a meltdown of a nuclear power plant creates a big catastrophe in Tokyo. 20 years later, the city has become a ghost town due to the high levels of radiation. From that area a distress signal is received. The Self Defense forces dispatch three girls from the special unit Coppelion to search for survivors. But why aren't they wearing any protection against radiation? (Source: MU, edited)","[[-0.00419867 -0.02271435 -0.02078578 ...  0.00299331 -0.00699779
  -0.00776118]]",53133.24044427419,Coppelion,coppelion,coppelion
Cencoroll Connect,7.25,"Action, Sci-Fi",Movie,1,1 hr. 15 min.,3000,29639,"Genre: Action, Sci-Fi and the synopsis is The sequel to Cencoroll .","[[-0.00044044 -0.02724775 -0.02362009 ...  0.01469874 -0.02810764
  -0.00763824]]",14823.124265702983,Unknown,cencoroll connect,unknown
Mitsudomoe Zouryouchuu!,7.71,"Slice of Life, Comedy, School",TV,8,24 min. per ep.,2544,39781,"Genre: Slice of Life, Comedy, School and the synopsis is Second season of Mitsudomoe.","[[ 0.01534882 -0.01962334 -0.03006633 ... -0.00069091  0.00270281
  -0.02869848]]",19894.35347816126,Unknown,mitsudomoe zouryouchuu,unknown
Beelzebub,7.91,"Action, Comedy, Demons, Supernatural, School, Shounen",TV,60,24 min. per ep.,280,462977,"Genre: Action, Comedy, Demons, Supernatural, School, Shounen and the synopsis is Ishiyama High is a school populated entirely by delinquents, where nonstop violence and lawlessness are the norm. However, there is one universally acknowledged rule—don't cross first year student Tatsumi Oga, Ishiyama's most vicious fighter. One day, Oga is by a riverbed when he encounters a man floating down the river. After being retrieved by Oga, the man splits down the middle to reveal a baby, which crawls onto Oga's back and immediately forms an attachment to him. Though he doesn't know it yet, this baby is named Kaiser de Emperana Beelzebub IV, or ""Baby Beel"" for short—the son of the Demon Lord! As if finding the future Lord of the Underworld isn't enough, Oga is also confronted by Hildegard, Beel's demon maid. Together they attempt to raise Baby Beel—although surrounded by juvenile delinquents and demonic powers, the two of them may be in for more of a challenge than they can imagine.","[[ 0.0191131  -0.0334147  -0.03413244 ...  0.00233597  0.00081659
  -0.02450943]]",231492.43895072147,Beelzebub,beelzebub,beelzebub
Highschool of the Dead: Drifters of the Dead,6.64,"Comedy, Ecchi, Supernatural",OVA,1,16 min.,599,242026,"Genre: Comedy, Ecchi, Supernatural and the synopsis is fter escaping the zombie-infested mainland, Takashi Komuro and the gang find themselves on a remote island off the coast of Tokonosu City. While scavenging around the island for supplies, they encounter a small seaside shack that provides them with clothing and a place to rest for the night. After a day's work of collecting food, they begin to cook what they have gathered. As they wait beside the campfire, a light haze begins to form around them and makes them nauseous. Confirming it to be caused by hydrangeas—a type of poisonous plant that can cause hallucinations—the group attempts to escape from the powerful odor.","[[ 0.02757627 -0.02718502 -0.01240527 ... -0.00241326 -0.00242844
  -0.00909315]]",121016.32002006212,Unknown,highschool of the dead drifters of the dead,unknown
Cardfight!! Vanguard,7.04,"Action, Game, Adventure, Demons, Shounen",TV,65,24 min. per ep.,2466,42692,"Genre: Action, Game, Adventure, Demons, Shounen and the synopsis is Cardfight!! Vanguard features a world where the game Cardfight!! Vanguard is becoming the latest craze among trading card games, becoming a part of everyday life for people all over the world. The game is not limited to Earth alone; battles between the creatures used by the players take place on another planet called Cray. The story begins with Aichi Sendou, a timid middle schooler whose meek attitude often leaves him a target for bullies. Aichi was given a very rare card, ""Blaster Blade"", when he was very young. It's his one treasure that gives him hope. That is, until it gets taken from him. Although Aichi has never played Cardfight!! Vanguard before, he challenges the thief to a game in order to win the ""Blaster Blade"" back. This high-stakes game quickly draws Aichi into the world of Vanguard battles, which will test and change his worth as both a player and a person.","[[-0.01804042 -0.0263429  -0.03067519 ... -0.01536346 -0.01412197
  -0.03517559]]",21349.51941622593,Cardfight!! Vanguard,cardfight vanguard,cardfight vanguard
Biohazard: Damnation,7.21,"Action, Sci-Fi, Horror",Movie,1,1 hr. 37 min.,3679,19840,"Genre: Action, Sci-Fi, Horror and the synopsis is United States Special Agent Leon S. Kennedy sneaks into a small Eastern European country to verify rumors that Bio Organic Weapons (B.O.W.s) are being used in war. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the B.O.W.s. (Source: IMDB)","[[-0.00141703 -0.01252914 -0.02092633 ... -0.02676438 -0.00295734
   0.00055523]]",9923.604440455762,Unknown,biohazard damnation,unknown
MM! Specials,6.64,"Comedy, Ecchi, School",Special,9,1 min. per ep.,2987,29869,"Genre: Comedy, Ecchi, School and the synopsis is The six Blu-ray Disc/DVD volumes for the MM! television anime series will each include one or two new, ""somewhat extreme"" anime short stories.","[[-0.00937827 -0.02219633 -0.01963921 ...  0.00759348 -0.00285891
  -0.03060757]]",14937.820004062167,MM! Hidden Camera Shorts,mm specials,mm hidden camera shorts
